Type,Account Reference,Date,Reference,Extra Reference,Nominal A/C Ref,Department Code,Details,  Net Amount   ,Tax Code,    Tax Amount     
SC,102,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 4 pax £3pp,12,T1,2.4
SC,284,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 174 pax £3pp,522,T1,104.4
SC,649,10/03/2023,March'23 ADDS,,1151,,Celebrity 08Jun22-30Jun22 Tactical,11.38,T1,2.28
SC,649,10/03/2023,March'23 ADDS,,1151,,Fred Olsen July&Aug22 Incentive,100,T1,20
SC,649,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,649,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 187 pax £3pp,561,T1,112.2
SC,650,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 67 pax £3pp,201,T1,40.2
SC,651,10/03/2023,March'23 ADDS,,1151,,Fred Olsen July&Aug22 Incentive,50,T1,10
SC,651,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,651,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 36 pax £3pp,108,T1,21.6
SC,652,10/03/2023,March'23 ADDS,,1151,,Fred Olsen July&Aug22 Incentive,50,T1,10
SC,652,10/03/2023,March'23 ADDS,,1151,,Fred Olsen July&Aug22 Incentive,50,T1,10
SC,652,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,652,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,652,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,652,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 87 pax £3pp,261,T1,52.2
SC,653,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,653,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 48 pax £3pp,144,T1,28.8
SC,654,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 90 pax £3pp,270,T1,54
SC,655,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 61 pax £3pp,183,T1,36.6
SC,656,10/03/2023,March'23 ADDS,,1151,,Easyjet 13th-15th Dec22 Incentive,10,T1,2
SC,656,10/03/2023,March'23 ADDS,,1151,,Fred Olsen July&Aug22 Incentive,50,T1,10
SC,656,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 119 pax £3pp,357,T1,71.4
SC,657,10/03/2023,March'23 ADDS,,1151,,Fred Olsen July&Aug22 Incentive,50,T1,10
SC,657,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,657,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,657,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 105 pax £3pp,315,T1,63
SC,658,10/03/2023,March'23 ADDS,,1151,,Celebrity 25May22-07Jun22 Tactical,87.9,T1,17.58
SC,658,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,658,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,658,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 103 pax £3pp,309,T1,61.8
SC,658,10/03/2023,March'23 ADDS,,1151,,RCL Q3 July-September 2021 Incentive,653,T1,130.6
SC,659,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 19 pax £3pp,57,T1,11.4
SC,661,10/03/2023,March'23 ADDS,,1151,,Celebrity 01Nov-05Dec22,25,T1,5
SC,661,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 114 pax £3pp,342,T1,68.4
SC,674,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 38 pax £3pp,114,T1,22.8
SC,689,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 62 pax £3pp,186,T1,37.2
SC,693,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 24 pax £3pp,72,T1,14.4
SC,693,10/03/2023,March'23 ADDS,,1151,,RCL2022 Period1. 1Jan-28Feb22 Incentive,47.37,T1,9.47
SC,782,10/03/2023,March'23 ADDS,,1151,,Celebrity 01Nov-05Dec22,75,T1,15
SC,782,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 13 pax £3pp,39,T1,7.8
SC,797,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 20 pax £3pp,60,T1,12
SC,814,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 53 pax £3pp,159,T1,31.8
SI,829,10/03/2023,March'23 ADDS,,4410,,Telecoms February'23,124.21,T1,24.84
SC,829,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 261 pax £3pp,783,T1,156.6
SC,833,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 4 pax £3pp,12,T1,2.4
SC,1006,10/03/2023,March'23 ADDS,,1151,,Celebrity 01July22-31July22,108.45,T1,21.69
SC,1006,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,1006,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 90 pax £3pp,270,T1,54
SC,1017,10/03/2023,March'23 ADDS,,1151,,Celebrity 01Nov-05Dec22,50,T1,10
SC,1017,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 49 pax £3pp,147,T1,29.4
SI,1028,10/03/2023,March'23 ADDS,,4334,,March'23 - Net Effect,20,T1,4
SI,1028,10/03/2023,March'23 ADDS,,4410,,Telecoms February'23,174.43,T1,34.89
SC,1028,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,1028,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 53 pax £3pp,159,T1,31.8
SI,1031,10/03/2023,March'23 ADDS,,4410,,Telecoms February'23,46.82,T1,9.36
SC,1204,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 2 pax £3pp,6,T1,1.2
SC,1238,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 83 pax £3pp,249,T1,49.8
SC,1246,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 2 pax £3pp,6,T1,1.2
SC,1254,10/03/2023,March'23 ADDS,,1151,,Celebrity 01July22-31July22,70.9,T1,14.18
SC,1254,10/03/2023,March'23 ADDS,,1151,,Celebrity 08Jun22-30Jun22 Tactical,291.7,T1,58.34
SC,1254,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 50 pax £3pp,150,T1,30
SC,1348,10/03/2023,March'23 ADDS,,1151,,Celebrity 01July22-31July22,100.95,T1,20.19
SC,1348,10/03/2023,March'23 ADDS,,1151,,Celebrity 08Jun22-30Jun22 Tactical,103.95,T1,20.79
SC,1348,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 28 pax £3pp,84,T1,16.8
SI,1423,10/03/2023,March'23 ADDS,,4410,,Telecoms February'23,77.65,T1,15.53
SC,1423,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 13 pax £3pp,39,T1,7.8
SI,1440,10/03/2023,March'23 ADDS,,4410,,Telecoms February'23,20.43,T1,4.09
SC,1494,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 35 pax £3pp,105,T1,21
SC,1532,10/03/2023,March'23 ADDS,,1151,,Celebrity 01Nov-05Dec22,75,T1,15
SC,1532,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 71 pax £3pp,213,T1,42.6
SC,1575,10/03/2023,March'23 ADDS,,1151,,Celebrity 08Jun22-30Jun22 Tactical,56.05,T1,11.21
SC,1575,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 64 pax £3pp,192,T1,38.4
SI,1604,10/03/2023,March'23 ADDS,,4300,,Annual 2023 Membership Fee - March 2023,111,T1,22.2
SI,1740,10/03/2023,March'23 ADDS,,4334,,March'23 - Net Effect,20,T1,4
SC,1740,10/03/2023,March'23 ADDS,,1151,,Easyjet 13th-15th Dec22 Incentive,10,T1,2
SC,1740,10/03/2023,March'23 ADDS,,1151,,Easyjet 13th-15th Dec22 Incentive,10,T1,2
SC,1740,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 272 pax £3pp,816,T1,163.2
SC,1832,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 24 pax £3pp,72,T1,14.4
SC,1954,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 69 pax £3pp,207,T1,41.4
SC,2056,10/03/2023,March'23 ADDS,,1151,,Celebrity 01Nov-05Dec22,25,T1,5
SC,2056,10/03/2023,March'23 ADDS,,1151,,Celebrity 08Jun22-30Jun22 Tactical,51.55,T1,10.31
SC,2056,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 2 pax £3pp,6,T1,1.2
SC,2082,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 333 pax £3pp,999,T1,199.8
SC,2106,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 26 pax £3pp,78,T1,15.6
SI,2124,10/03/2023,March'23 ADDS,,4334,,March'23 - Net Effect,20,T1,4
SC,2124,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 22 pax £3pp,66,T1,13.2
SC,2157,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 16 pax £3pp,48,T1,9.6
SC,2327,10/03/2023,March'23 ADDS,,1151,,Fred Olsen July&Aug22 Incentive,50,T1,10
SC,2327,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,2327,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 78 pax £3pp,234,T1,46.8
SC,2357,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 5 pax £3pp,15,T1,3
SI,2378,10/03/2023,March'23 ADDS,,4334,,March'23 - Net Effect,20,T1,4
SC,2378,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 91 pax £3pp,273,T1,54.6
SC,2384,10/03/2023,March'23 ADDS,,1151,,Celebrity 01Nov-05Dec22,25,T1,5
SC,2384,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 8 pax £3pp,24,T1,4.8
SI,2417,10/03/2023,March'23 ADDS,,4334,,March'23 - Net Effect,20,T1,4
SI,2417,10/03/2023,March'23 ADDS,,4410,,Telecoms February'23,148.44,T1,29.69
SC,2417,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 30 pax £3pp,90,T1,18
SC,2421,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 25 pax £3pp,75,T1,15
SC,2422,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,2422,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,2422,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,2422,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,2422,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 41 pax £3pp,123,T1,24.6
SC,2431,10/03/2023,March'23 ADDS,,1151,,Celebrity 01July22-31July22,82.65,T1,16.53
SC,2431,10/03/2023,March'23 ADDS,,1151,,Celebrity 01Nov-05Dec22,50,T1,10
SC,2431,10/03/2023,March'23 ADDS,,1151,,Celebrity 08Jun22-30Jun22 Tactical,110.7,T1,22.14
SC,2431,10/03/2023,March'23 ADDS,,1151,,Celebrity Annual 2022 Bi-Annual,1086,T1,217.2
SC,2431,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 95 pax £3pp,285,T1,57
SC,2431,10/03/2023,March'23 ADDS,,1151,,RCL2022 Period1. 1Jan-28Feb22 Incentive,33.66,T1,6.73
SC,2432,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 65 pax £3pp,195,T1,39
SI,2438,10/03/2023,March'23 ADDS,,4410,,Telecoms February'23,126.6,T1,25.32
SC,2438,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 137 pax £3pp,411,T1,82.2
SC,2441,10/03/2023,March'23 ADDS,,1151,,Celebrity 01Nov-05Dec22,25,T1,5
SC,2441,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,2441,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,2441,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,2441,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,2441,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 108 pax £3pp,324,T1,64.8
SC,2450,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 230 pax £3pp,690,T1,138
SI,2474,10/03/2023,March'23 ADDS,,4334,,TTNG Online Services Explore Plan Monthly Fee -February'23,75,T1,15
SC,2474,10/03/2023,March'23 ADDS,,1151,,Celebrity 25May22-07Jun22 Tactical,112.75,T1,22.55
SC,2474,10/03/2023,March'23 ADDS,,1151,,Fred Olsen July&Aug22 Incentive,50,T1,10
SC,2474,10/03/2023,March'23 ADDS,,1151,,Fred Olsen July&Aug22 Incentive,50,T1,10
SC,2474,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,2474,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,2474,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 40 pax £3pp,120,T1,24
SC,2611,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 24 pax £3pp,72,T1,14.4
SI,2702,10/03/2023,March'23 ADDS,,4334,,March'23 - Net Effect,20,T1,4
SI,2702,10/03/2023,March'23 ADDS,,4410,,Telecoms February'23,256.96,T1,51.39
SC,2702,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 35 pax £3pp,105,T1,21
SI,2713,10/03/2023,March'23 ADDS,,4410,,Telecoms February'23,232.1,T1,46.42
SI,2713,10/03/2023,March'23 ADDS,,4334,,TTNG Online Services Explore Plan Monthly Fee -February'23,60,T1,12
SC,2713,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 106 pax £3pp,318,T1,63.6
SI,2760,10/03/2023,March'23 ADDS,,4410,,Telecoms February'23,111.13,T1,22.23
SI,2760,10/03/2023,March'23 ADDS,,4334,,TTNG Online Services Captivate Plan Monthly Fee -February'23,150,T1,30
SC,2791,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,2791,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 21 pax £3pp,63,T1,12.6
SI,2792,10/03/2023,March'23 ADDS,,4410,,Telecoms February'23,20.39,T1,4.08
SC,2792,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 60 pax £3pp,180,T1,36
SC,2792,10/03/2023,March'23 ADDS,,1151,,RCL2022 Period1. 1Jan-28Feb22 Incentive,122.1,T1,24.42
SC,2803,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 4 pax £3pp,12,T1,2.4
SI,2806,10/03/2023,March'23 ADDS,,4334,,March'23 - Net Effect,20,T1,4
SC,2806,10/03/2023,March'23 ADDS,,1151,,Celebrity 01Nov-05Dec22,25,T1,5
SC,2806,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,2806,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 64 pax £3pp,192,T1,38.4
SC,2839,10/03/2023,March'23 ADDS,,1151,,Celebrity 01Nov-05Dec22,25,T1,26.4
SC,2839,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 45 pax £3pp,135,T1,27
SC,2839,10/03/2023,March'23 ADDS,,1151,,RCL2022 Period1. 1Jan-28Feb22,187.29,T1,146.4
SC,3004,10/03/2023,March'23 ADDS,,1151,,Azamara 2022 Bonus 01Sep-31Oct22,44.86,T1,8.97
SC,3004,10/03/2023,March'23 ADDS,,1151,,Celebrity 01Nov-05Dec22,50,T1,10
SC,3004,10/03/2023,March'23 ADDS,,1151,,Celebrity Annual 2022 Bi-Annual,2203,T1,440.6
SC,3004,10/03/2023,March'23 ADDS,,1151,,Fred Olsen October22 Incentive,200,T1,40
SC,3004,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 57 pax £3pp,171,T1,34.2
SC,3114,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 5 pax £3pp,15,T1,3
SC,3115,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 2 pax £3pp,6,T1,1.2
SC,3122,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 13 pax £3pp,39,T1,7.8
SC,3314,10/03/2023,March'23 ADDS,,1151,,Celebrity 08Jun22-30Jun22 Tactical,71.55,T1,14.31
SC,3314,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 101 pax £3pp,303,T1,60.6
SI,3321,10/03/2023,March'23 ADDS,,4334,,TTNG Online Services Explore Plan Monthly Fee (February'23),60,T1,12
SC,3322,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 23 pax £3pp,69,T1,13.8
SI,3350,10/03/2023,March'23 ADDS,,4300,,Annual 2023 Membership Fee - March 2023,625,T1,125
SC,3350,10/03/2023,March'23 ADDS,,1151,,Easyjet 13th-15th Dec22 Incentive,10,T1,2
SC,3350,10/03/2023,March'23 ADDS,,1151,,Fred Olsen July&Aug22 Incentive,50,T1,10
SC,3350,10/03/2023,March'23 ADDS,,1151,,Fred Olsen July&Aug22 Incentive,50,T1,10
SC,3350,10/03/2023,March'23 ADDS,,1151,,Fred Olsen July&Aug22 Incentive,50,T1,10
SC,3350,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,3350,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,3350,10/03/2023,March'23 ADDS,,1151,,Fred Olsen September 22 Incentive,30,T1,6
SC,3350,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 100 pax £3pp,300,T1,60
SC,3350,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 105 pax £3pp,315,T1,63
SC,3350,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 127 pax £3pp,381,T1,76.2
SC,3350,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 134 pax £3pp,402,T1,80.4
SC,3350,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 15 pax £3pp,45,T1,9
SC,3350,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 156 pax £3pp,468,T1,93.6
SC,3350,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 162 pax £3pp,486,T1,97.2
SC,3350,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 165 pax £3pp,495,T1,99
SC,3350,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 19 pax £3pp,57,T1,11.4
SC,3350,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 21 pax £3pp,63,T1,12.6
SC,3350,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 221 pax £3pp,663,T1,132.6
SC,3350,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 39 pax £3pp,117,T1,23.4
SC,3350,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 45 pax £3pp,135,T1,27
SC,3350,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 56 pax £3pp,168,T1,33.6
SC,3350,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 96 pax £3pp,288,T1,57.6
SC,3403,10/03/2023,March'23 ADDS,,1151,,Celebrity 08Jun22-30Jun22 Tactical,90.1,T1,18.02
SC,3403,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 208 pax £3pp,624,T1,124.8
SC,3412,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 170 pax £3pp,510,T1,102
SI,3414,10/03/2023,March'23 ADDS,,4334,,TTNG Online Services Explore Plan Monthly Fee -February'23,35,T1,7
SC,3414,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 118 pax £3pp,354,T1,70.8
SC,3420,10/03/2023,March'23 ADDS,,1151,,Jet2 Q3 Oct-Dec 2022 CC Refund 27 pax £3pp,81,T1,16.2
